Geneid	5_R1	5_R2	30_R1	30_R2	60_R1	60_R2	120_R1	120_R2	Entity	Symbol
gene-TX72_RS08295	1458	1482	196	388	170	88	46	53	host	ftsZ
gene-TX72_RS13600	259	267	68	139	74	35	12	11	host	gene-TX72_RS13600
gene-TX72_RS13755	299	276	62	124	57	29	13	12	host	gene-TX72_RS13755
gene-TX72_RS09700	270	230	49	73	24	17	11	10	host	gene-TX72_RS09700
gene-TX72_RS04195	521	595	76	103	49	31	17	19	host	gene-TX72_RS04195
gene-TX72_RS09720	52	51	7	13	5	1	2	4	host	gene-TX72_RS09720
gene-TX72_RS07905	310	286	54	85	15	28	7	7	host	gene-TX72_RS07905
gene-TX72_RS01190	321	275	43	59	29	10	11	7	host	gene-TX72_RS01190
gene-TX72_RS02835	153	171	38	41	24	9	3	9	host	gene-TX72_RS02835
gene-TX72_RS08405	133	101	36	66	17	12	4	3	host	gene-TX72_RS08405
gene-TX72_RS12610	1533	1645	191	273	153	43	28	30	host	acnB
gene-TX72_RS01735	215	210	23	36	17	10	9	2	host	gene-TX72_RS01735
gene-TX72_RS08025	75	62	8	14	2	5	0	2	host	gene-TX72_RS08025
gene-TX72_RS07995	142	132	15	21	4	4	1	0	host	gene-TX72_RS07995
gene-TX72_RS03950	34	60	12	22	7	6	1	0	host	gene-TX72_RS03950
gene-TX72_RS02280	205	208	37	51	21	9	10	8	host	gene-TX72_RS02280
gene-TX72_RS02630	84	66	11	15	7	2	3	0	host	gene-TX72_RS02630
gene-TX72_RS04020	43	58	5	11	5	3	2	3	host	gene-TX72_RS04020
gene-TX72_RS08855	96	84	18	32	15	6	3	6	host	gene-TX72_RS08855
gene-TX72_RS02860	171	159	23	29	15	9	4	6	host	gene-TX72_RS02860
gene-BSV9_gp37	0	0	2252	5969	21064	9878	11302	16607	phage	gene-BSV9_gp37
gene-TX72_RS01110	17	30	6	8	5	1	3	0	host	gene-TX72_RS01110
gene-TX72_RS02390	10549	12184	1907	3036	1689	577	293	475	host	atpA
gene-TX72_RS02500	578	561	155	248	105	71	33	24	host	gene-TX72_RS02500
gene-TX72_RS13405	830	814	184	319	159	94	40	43	host	gene-TX72_RS13405
gene-TX72_RS08130	121	121	17	21	8	7	2	1	host	gene-TX72_RS08130
gene-BSV9_gp16	0	0	4319	10831	17931	9509	6831	9282	phage	gene-BSV9_gp16
gene-TX72_RS07645	68	69	19	29	8	14	7	5	host	gene-TX72_RS07645
gene-TX72_RS14670	1471	1584	111	138	55	27	18	26	host	petG
gene-TX72_RS11600	114	138	16	25	7	4	4	2	host	gene-TX72_RS11600
gene-TX72_RS02595	5906	7087	484	650	268	176	60	59	host	gene-TX72_RS02595
gene-TX72_RS10570	31	27	14	19	16	8	5	2	host	gene-TX72_RS10570
gene-TX72_RS05215	88	64	8	11	3	1	1	2	host	gene-TX72_RS05215
gene-TX72_RS10445	2092	2529	334	530	336	114	50	78	host	rplE
gene-BSV9_gp90	419	755	70062	145878	100480	52900	13104	16212	phage	gene-BSV9_gp90
gene-TX72_RS00140	4430	6417	528	833	321	195	77	120	host	gap
gene-TX72_RS11825	1471	31917	281	361	177	87	20	44	host	rplA
gene-BSV9_gp177	0	0	25521	66468	163368	83464	26103	32200	phage	41
gene-TX72_RS02570	265	242	88	103	29	26	28	25	host	gene-TX72_RS02570
gene-TX72_RS10710	175	215	27	40	20	5	2	3	host	lipA
gene-TX72_RS07955	8	9	6	9	3	3	3	2	host	gene-TX72_RS07955
gene-TX72_RS06300	529	613	100	156	59	38	6	20	host	gene-TX72_RS06300
gene-TX72_RS08585	155	155	12	25	6	4	2	2	host	gene-TX72_RS08585
gene-BSV9_gp78	100	157	5738	15237	11164	4661	844	1268	phage	gene-BSV9_gp78
gene-TX72_RS06055	1297	1243	184	350	168	97	37	51	host	gene-TX72_RS06055
gene-TX72_RS03230	386	397	43	65	37	19	7	11	host	gene-TX72_RS03230
gene-TX72_RS08055	87	52	18	25	4	6	2	4	host	gene-TX72_RS08055
gene-TX72_RS11875	124	113	29	57	21	19	4	9	host	gene-TX72_RS11875
gene-TX72_RS06425	4148	3630	536	860	312	187	77	84	host	rpmB
gene-TX72_RS13415	1448	993	396	479	230	67	80	65	host	ntrB
